"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","71.98","76.94","77.63","68.69","162.22K","-8.65%"
"08/01/2024","78.80","81.47","82.40","75.06","17.11K","-2.52%"
"07/01/2024","80.84","84.11","87.05","77.95","6.80M","-6.45%"
"06/01/2024","86.41","81.15","87.22","76.76","5.73M","5.87%"
"05/01/2024","81.62","85.80","85.89","80.65","6.48M","-7.10%"
"04/01/2024","87.86","86.98","92.18","85.79","7.30M","0.43%"
"03/01/2024","87.48","82.07","87.70","81.08","6.02M","4.62%"
"02/01/2024","83.62","80.57","84.31","76.62","5.84M","2.34%"
"01/01/2024","81.71","77.39","84.80","74.79","6.23M","6.06%"
"12/01/2023","77.04","80.67","81.72","72.29","4.66M","-6.99%"
"11/01/2023","82.83","85.45","87.80","76.60","5.63M","-5.24%"
"10/01/2023","87.41","92.18","93.79","83.44","7.05M","-8.29%"
"09/01/2023","95.31","86.82","97.69","86.74","5.54M","9.73%"
"08/01/2023","86.86","85.24","88.10","81.94","6.26M","1.52%"
"07/01/2023","85.56","75.11","85.80","74.56","5.64M","14.23%"
"06/01/2023","74.90","72.15","78.73","71.57","5.45M","3.08%"
"05/01/2023","72.66","80.11","80.24","71.28","5.61M","-8.65%"
"04/01/2023","79.54","86.00","87.49","77.39","4.71M","-0.29%"
"03/01/2023","79.77","83.05","86.75","70.12","5.89M","-4.91%"
"02/01/2023","83.89","85.56","86.95","79.10","4.54M","-0.71%"
"01/01/2023","84.49","85.96","89.09","77.61","4.34M","-1.65%"
"12/01/2022","85.91","86.78","89.37","75.11","3.90M","0.56%"
"11/01/2022","85.43","92.67","99.56","80.61","4.97M","-9.91%"
"10/01/2022","94.83","86.35","98.75","86.35","4.46M","7.81%"
"09/01/2022","87.96","95.18","96.99","83.65","4.05M","-8.84%"
"08/01/2022","96.49","103.92","105.48","91.51","4.39M","-12.29%"
"07/01/2022","110.01","109.49","114.75","94.50","4.28M","-4.18%"
"06/01/2022","114.81","116.08","125.19","107.03","4.46M","-6.54%"
"05/01/2022","122.84","106.30","125.28","101.30","4.50M","12.35%"
"04/01/2022","109.34","105.25","114.84","97.57","3.80M","1.33%"
"03/01/2022","107.91","98.43","139.13","96.93","6.28M","6.85%"
"02/01/2022","100.99","89.62","105.79","87.72","5.89M","10.72%"
"01/01/2022","91.21","78.11","91.70","77.04","5.45M","17.27%"
"12/01/2021","77.78","69.80","80.17","65.72","5.18M","10.22%"
"11/01/2021","70.57","83.63","85.50","70.22","6.62M","-16.37%"
"10/01/2021","84.38","78.49","86.70","77.55","6.30M","7.46%"
"09/01/2021","78.52","71.68","80.75","70.42","5.09M","7.58%"
"08/01/2021","72.99","75.39","75.39","64.60","5.51M","-4.38%"
"07/01/2021","76.33","74.69","77.84","67.44","5.85M","1.60%"
"06/01/2021","75.13","69.39","76.60","69.29","5.06M","8.38%"
"05/01/2021","69.32","66.70","70.24","64.57","5.09M","3.08%"
"04/01/2021","67.25","63.12","68.95","61.25","5.05M","5.84%"
"03/01/2021","63.54","64.85","71.38","60.27","6.63M","-3.92%"
"02/01/2021","66.13","54.91","67.70","54.60","5.09M","18.34%"
